,block_num,fb_min,nfb_max,exist_high_priority,high_priority_account
11,13398267.0,17473367810.220818,222513334024.0,1.0,"['0xb4de418ed43ebbcc3e9e09d6e8ac23fae5471444422f64b434a10d1f9b36b3e8', '0xc65dca83310475c3d0937337ca1e79904c99685129cb0a6b395a68259f2f8737', '0xc9d4fdf108509bc88c50f95ee733e8b67f2b1868d55a3ce6b406a8f79760c410', '0xff7b7fe199d1ab971c7c63d224cb70db89def41f16c15eb8d0b87b0e0a01c227', '0x2525e0520f0e139a63af9f57615d1058a2c0867acc6b3e99edea939bd62caaae', '0x81bac42c9e135f1f8d3c9e3fb4c3861d5340ee878e50a9800e33b134d6581ec2', '0x5091f60d2cfec492dd0ec7d9772effb930f28fdb72eab19534297ea8626e6d76']"
12,13398268.0,51727502600.0,92727502600.0,1.0,['0x8f4fe03da7b72cdaa95268319c46d9d349ea380215cb7be3a560dc97ffe21114']
13,13398271.0,134505537906.0,925650228888.0,1.0,"['0xea7f98b57d9f64230f09ecd9047c295574a70b9fa0fb14056cecd0e216fb124e', '0x98a092246f9b33f342bac8e69303d86791878a9567686ab35d64000fe3b6fabc', '0x4cf9d3a73aa6804fc7c57e50948e8133faa6d76ae905a1220d4a67c630b98046', '0xcd7bf6d7df77b632626286a1fd01717c7d93ac72fb8e886918755a047212c3fd', '0xb3655cf2eced4970cc042104cada6ad81dc93eb44cae4e521ee975cd440f7816']"
14,13398272.0,164829621387.20514,159444913478.0,0.0,
15,13398278.0,21764192089.0,116036540205.0,1.0,['0x8b66e41ae6b03cdf38af576c39e26323b4d1a5a38e5e22508e3ddc8ba7cf1dea']
16,13398280.0,5000000000.0,160174168409.0,1.0,"['0x6341cdace7e949ed86dea0b0a7b8639a2524570d3b6591f39ed50686fa30b30f', '0x8ff9de58d0382f69a13b4fe944432e0cfd9780001033508683f8b32b4db28d1e']"
17,13398282.0,13258850113.0,334866874699.0,1.0,['0x0561e8a19eb4454bf0c69902c1e0341d05c06beb1e0f8b2e23731942e290d1e2']
18,13398283.0,0.0,54203525471.0,1.0,['0x8ac4d97b4ce4d0a1d4a9f4bc2e243b8b2f7c7932a61aba584ecc689cdbd4afa5']
19,13398287.0,54460860516.24071,206050775461.0,1.0,"['0x4e4a722ae7ed7813ab482747e46a79c2795ee430c57d82e5ba5a0726340066a3', '0x3b2793e00a8045e9dc3b66428a783ddd1520de26c2e50fb71af59ad792677595', '0xebac3749255c7a21c79e700efba1f79714afc1ce1ddbd298b58e5f819c8e57a7']"
20,13398290.0,0.0,161364948948.0,1.0,"['0x7d4dad8f40abefaa8ee3ec8f805147df2364e8f057f056d8e9a7dbba08f5d452', '0xe9c979159978dfbac6c5fbf626e37d4e4705e16a175e9f8d6729f1fbc1b64179', '0x7690eaecad0fd197f8685ca7fbc0d385c449b3e1a04545a4685d26373c5a87bd', '0x8ff9281dcad89520ab6ca3d04d46c6e00f296a0970933e757b8c098b46209c8f', '0xb9998add1e4b47a6dacfe19a870aa86f62a3445b7b70457d48af47f0863d586c', '0x652affdd1c624d62f3862702f35e56721ef70019e52ada4cd0a14b44822d19f3', '0x0f9d30fc4f470fbf894637386e96afca334e4e8a2bdc714848945bab6bec9d89', '0x7a96fdd65abaf338b26ea014810fecd6e28c5d577093da6f696380bd9f474e1f', '0xc808f737ea67fbd8651598c1dd3e800c9a9a29948a5569924157132467fc1b5d', '0xbb4b7c9810b2ab5ff53ec66ed2596adf4bf5f8550c43b5bbc84258481473f57b', '0xa3b1f15c421097c0cf1d91780ed64f7e1762e472bb7d7ffda04116f8ebcb0ed6']"
21,13398291.0,54459314935.0,188814556834.0,1.0,['0xa9cd032e587af0e98e7f14e9ae499b492905c37d892ebbb1d059106032c9ef20']
22,13398294.0,99992353601.0,184816939216.0,1.0,['0xef569aed6d5533afa0725730f384205bd2c957935670384accca2141d853b5e8']
23,13398298.0,152753756856.11636,233447773784.0,1.0,"['0x341921cdc43eed13c6ceea218c5410b98ca57a03dddb8750a1b8f095a9f2d979', '0xb25690cc005cd54d61177e7cde04c5b4e663ccd804e1b886168719fbea477317', '0x86c69186b6c01a0e3937de1c2ae162b5db5e2afc2133c0ac9f5565ce75f777d7']"
24,13398302.0,33292863839.0,162370599675.0,1.0,['0x71fd74f866a04dec30596bb02e5043b4c7b0f33dfa2c84e63ba6b6c60cc0a065']
25,13398303.0,5310426038.0,191531048014.0,1.0,"['0x77cb3822de29098792092a470e65ce836df6394507fce3006c0fa1920ad38b85', '0x7e51974304f0ab8ca39a232cce8bd5e31e928068f69e2a29b62bb3fa6a094f46', '0x1abc5a2fd3d902c59a0d30a5eca42a48b14238ca44eb0c09f64c6d31ed5db139', '0x0e64379f5d27ff5b076fd008c896e4ce8f8ea34e66b577ecdc175fc899b09701']"
26,13398305.0,2037537792547.0,571399150132.0,0.0,
27,13398307.0,1623284718.9458756,209191336715.0,1.0,"['0xfb070a99eed2e52921fd0b010e8ed27e56acc4e15c86bb6bfa4026bc6372a209', '0x13f61d6b451eed2f3a8929f65f67c021e80a182cfdd46850c1fe4b4037f0d799']"
28,13398309.0,170675579225.22266,227872097804.0,1.0,"['0xb7575f8fcf9cdf4a3c42ffaedf0081e4496d08bb6d44d990136cf8ae5c7f27ee', '0xde34185cf0d657c0e21c0baae4b5c0d0c0069049f4665df77a1c6d23969c4efd', '0xad364046ed84a710f5420bd05ef064af885bb453b2f28386b3ae67157daa033f', '0xc640957bf5b38b0fd5eaa1a3543ac3d55561a038acfe1f8abfba4edfa6d5830f', '0xfcfa92040e9d43c3143ef57cd3fa1d2aceb0313c30ddc6a8338a19a983b22b2d']"
