,block_num,block_len,block_gas_price,fb_min_price,fb_min_buddleIndex,fb_lastBuddle_price,fb_lastBuddle_position,fb_lastBuddle_quantile,buddle_num,fbtx_num,nfb_max_price,nfb_max_txhash,nfb_max_blockIndex,exist_high_priority,high_priority_trx
1110,13400144,219,33.530736368,11.896282284,2,11.896282284,36,16.8224%,3,5,114.884093391,0x2f9f0c80ed81f444bf7959b6948a58031b23a992a170b488ee0d7c39b35f57f0,7,1,['0x873a86a80bce7812eb8f7e23937220cb114d5f68c17821f0f5d4ac1ca2ee62a4']
1111,13400147,264,13.309193297,1.5,5,1.5,0,0%,6,138,1.5,0x6bf87273b99b9084c32718b111ddbde5d772a15d723b0a0eac1cd0350c533ab7,138,0,
1112,13400148,362,59.744875388,9.311598856,1,9.311598856,72,20.1681%,2,5,103.311598856,0xd9ad07441f46bdfa9fef73a9b0e414b78d319c003506c16a1a160014407116b7,9,1,['0x58fba09f1a5e82ac50e445715bd5a2eff96b681fc4b741effa095192b79793ce']
1113,13400149,88,5.0,5.0,0,5.0,12,13.7931%,1,1,22.721308523,0x1f5c4b255f36f4e906811f26156e65eee36322d4ec4346e0ebce76bad2b01117,1,1,['0xe7b1316ecd45cedca564eede53174734d6d53d723536f51fafdacacf4450a463']
1114,13400151,422,24.679962788,24.679962787796022,0,24.679962787796022,61,14.5238%,1,2,165.90704264,0x65ef49d24984260e26a489e7dda4db0fa15af0b7caa8e0706c69a77d5b0db28c,2,1,"['0x6e17dbc842da92643a5661b127d4531a1f50346e0aad26db43c939b277cba823', '0xca773da3387fa475c8738a1fcff307cc0a3841f780db3dd35586d4c30f4e3c2c']"
1115,13400153,370,46.292449538,14.061150839,4,14.061150839,0,0%,5,116,13.761150839,0x47d28441ba1d0ccebc05a60f3f5dcdaaff57f11bc710ff3cb34f853b1008ea0d,116,0,
1116,13400155,375,200.227132454,97.100184284,2,97.100184284,0,0%,3,3,62.058894343,0x376a71d79a6831a5fc52d25a26cf4ef013b90fc53e220ba29c32d4ba49cd91b1,8,0,
1117,13400157,425,95.069815829,1.5,8,19.94170964,2,0.6250%,12,105,21.888889662,0xadce0c740e18aee6775911ad698f465b181ade47ac6817168f2d3a7a7fcdf340,107,1,['0xbaf1f7fd49e1c25167eb21220940da87c3c7c082502f03f3c05941281cc26c8e']
1118,13400158,164,91.472335336,91.47233533688537,0,91.47233533688537,1,0.6211%,1,3,699.0,0x6add110623cd17b48e69f9b0a012214e261045bfaaf064a1de46e21fd84bf2da,3,1,"['0x276d39124b9ff7782d11c0306244b548db1cd3d9d4f624d95e85663825c997b6', '0x7412f33713ab18e1dfa289f0dcb8296a72a4963a32ec0c48d33debeed4215609', '0x7a3c2c4c85eacb5caf2b38f57bf0518cd53f569e2a82796e0537d2fa4406d894']"
1119,13400160,353,74.893865105,64.089960472,2,64.089960472,0,0%,3,7,63.419287254,0xc16645a17442639568bea6927f3f04ab368edfa927945fef908d861f16f5ae55,12,0,
1120,13400161,50,48.178552144,48.178552144,0,48.178552144,0,0%,1,1,24.833720223,0x78b99c2b55098bd7e2aa99de2ef5346b482e386d4066674e40b8887cd3d3e70b,1,0,
1121,13400162,305,430.863200245,20.153510392,1,20.153510392,64,21.1921%,2,3,129.970453473,0xe401d4d2a76b8eedf8e832b8b6d93bae1f738705b74b280c3e9c945116c43769,3,1,['0xa66a1558ab3c7c4f86f7f89b9f646821ea46663bf9ce50fdbe748ab60c8f38fb']
1122,13400164,140,122.514143205,33.830745411,2,33.830745411,9,6.6176%,3,4,70.833493862,0xd68e5e749d27cca1ab7d0378d09116510c2125005cfa332f00d42bb483758fe6,4,1,['0x606169c90d46af6427c2484e94626b3eb8ad9ed915072f899eeaf06fb91fc761']
1123,13400165,313,2322.885055564,2322.8850555640033,0,2322.8850555640033,0,0%,1,2,83.694336281,0x54ffbd801806b8988a6c8d5819eb330a283932b90a778646b0b6123592210927,2,0,
1124,13400166,64,118.239042347,16.594715884550986,1,18.442069,0,0%,4,22,16.90889236,0xe7c19546bce101a3589a9cb5d10bdc30adc9041cd502a0b238602ef621206a9b,22,0,
1125,13400167,362,9.029011575,5.0,2,5.0,176,49.0251%,3,3,109.83429606,0xf6fed20f0269187658bd2ed708c0468f5203d2af45205099b30976e8ec0b51bd,6,1,['0x51e905dbfeebdf9e34df6771341a82a84bd023e2476821e7395ee3dd71b02c86']
1126,13400171,30,56.023849615,56.023849615,0,56.023849615,0,0%,1,1,32.589813615,0xa72c9f39c86e2bec9d4bb47719cc135c0f4b7fcb3ed3215c67e348457d7388db,2,0,
1127,13400173,124,9.722535284,7.271570761,2,7.271570761,55,45.4545%,3,3,78.981219994,0x8b85002490040a0c2569ac8b04f4156482376e3a9e18e9d6ec630a595ade1e2e,3,1,['0x80faa0628f426abeb456a8b1ee9925f5fd9da45bdde65da7029230951296fd14']
1128,13400176,119,184.282251538,184.282251538,0,184.282251538,0,0%,1,1,52.67037254,0xc3353ff4e57f2004c12c19fc85f47c4fcfd7a851ee38c6de315f3d12157250de,1,0,
1129,13400178,164,7.42235215,3.555373813,2,3.555373813,18,11.1801%,3,3,40.584627387,0x19f390157601f2369c75279dd4607996c7d57b004108d5f41e0cbf38a8b17493,103,1,['0xa2918d2a472662376db5fcd6cb34fa4b70657bad772d48c2b582f5d90c5d18df']
1130,13400179,56,662.036685277,662.0366852778399,0,662.0366852778399,0,0%,1,2,116.695919562,0x98041f09bffc89cd1d2933d2e12a9f5320bbdefa52e781064cf05ac0ea1bd9e9,2,0,
1131,13400181,699,66.832135103,0.30774032845249055,0,47.158644419921195,28,4.1237%,3,20,102.25990121,0xbd74dfc5f79cc3c68cef37cce09de9271d38bc9d92273fd1ea4782d276a2376a,20,1,"['0xb11c6b7379083d84885886efe33bc24a34d3d0595067971045a1f97ae2724ebc', '0x1d2da837eff13ca0a0f14db7c8bc6bcd230f93e894b9bc62849a943b2c34664a']"
1132,13400182,274,48.253620343,48.25362034360094,0,48.25362034360094,0,0%,1,3,40.551064665,0xe9b546c73210fc7b87b91a5d61ba1dcb17cd2f23d4b93d8fb5e3f851902ba256,10,0,
1133,13400185,240,6.787703848,1.0,0,13.143834979,52,21.8487%,2,2,112.475129975,0x1196241bcf5536883cf2170a5f66e687002e3d02f9406a3f41afc4cadcedc38e,3,1,['0xfda14bde537e25c6862e17f5ade4daf10378164d72bc4d68a479e9c5587808db']
1134,13400188,63,2.644275184,1.5,2,1.5,37,61.6667%,3,3,29.116595279,0x8f35b4975b36e7ef34581d4aa3ef566c91ca01574b44d29b03471e5ecd9a8292,3,1,['0xcf19b86ed7619a50df0a5633d15a4169ff1f3152a1510878922af89cb574e5ca']
1135,13400189,218,384.192036583,384.192036583386,0,384.192036583386,0,0%,1,3,65.851125651,0xb764e554e81c88871fb750b5a5e54804de55eed7919c9530987834dca24cbdd0,9,0,
